"PROPNUM","SECTION","SEQUENCE","QUALIFIER","KEYWORD","EXPRESSION"
"B4KKJ6WARG",1,1,,"TITLES","Lease: COLO 32-8 #1"
"B4KKJ6WARG",1,6,,"TITLES","Field: IGNACIO-BLANCO"
"B4KKJ6WARG",1,11,,"TITLES","LA PLATA , CO"
"B4KKJ6WARG",1,16,,"TITLES","Operator: APACHE CORPORATION"
"B4KKJ6WARG",4,3,"BUD2003","CUMS","0.460 453.714"
"B4KKJ6WARG",4,4,"BUD2000","CUMS","0.295 205.384"
"B4KKJ6WARG",4,5,"BUD2000","START","04/1999"
"B4KKJ6WARG",4,6,"BUD2000","GAS","890.6 X M/M 08/2002 AD B/2.1215 7.249332"
"B4KKJ6WARG",4,7,"BUD2000","""","715.6 X M/M 155.736 IMU EXP 5.000000"
"B4KKJ6WARG",4,8,"BUD2000","START","04/1999"
"B4KKJ6WARG",4,9,"BUD2000","OIL/GAS","0.005593 0.00504028 B/M TO LIFE LOG TIME"
"B4KKJ6WARG",4,10,"BUD2003","START","1/2003"
"B4KKJ6WARG",4,11,"BUD2003","GAS","700.47 X M/M 152.198 IMU EXP 5.000000"
"B4KKJ6WARG",4,21,"BUD2003","START","1/2003"
"B4KKJ6WARG",4,22,"BUD2003","OIL/GAS","0.00555364 0.00504028 B/M TO LIFE LOG TIME"
"B4KKJ6WARG",5,4,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKJ6WARG",5,5,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKJ6WARG",6,14,"LOE99","OPC/T","1100 X $/M TO LIFE ESC OPEX"
"B4KKJ6WARG",6,16,"LOE99","TCR/GAS",".646 .646 $/M 01/2003 AD PC 0"
"B4KKJ6WARG",6,8203,,"ATX","6.97 X % TO LIFE PC 0"
"B4KKJ6WARG",6,16391,,"LOOKUP","SEV @M.STATE"
"B4KKJ6WARG",7,16385,"LGC","NET","79.44000 63.55000 %"
"B4KKJ6WARG",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKJ6WARG",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKJBUBSE",1,1,,"TITLES","Lease: COLO 32-8 #2"
"B4KKJBUBSE",1,6,,"TITLES","Field: IGNACIO-BLANCO"
"B4KKJBUBSE",1,11,,"TITLES","LA PLATA , CO"
"B4KKJBUBSE",1,16,,"TITLES","Operator: APACHE CORPORATION"
"B4KKJBUBSE",4,1,"PREFRAC","CUMS","0.0 288.826"
"B4KKJBUBSE",4,4,"BUD2003","CUMS","0.170 898.568"
"B4KKJBUBSE",4,5,"BUD2000","CUMS","0.147 350.485"
"B4KKJBUBSE",4,6,"BUD2000","START","04/1999"
"B4KKJBUBSE",4,7,"BUD2000","GAS","853.4 X M/M 06/2004 AD B/1.6959 8.308049"
"B4KKJBUBSE",4,8,"BUD2000","""","599.2 X M/M 128.533 IMU EXP 5.000000"
"B4KKJBUBSE",4,9,"BUD2000","START","04/1999"
"B4KKJBUBSE",4,10,"BUD2000","OIL/GAS","0.002084 0.00174592 B/M TO LIFE LOG TIME"
"B4KKJBUBSE",4,11,"BUD2003","START","1/2003"
"B4KKJBUBSE",4,12,"BUD2003","GAS","648.21 X M/M 6/2004 AD B/1.6959 5.434498"
"B4KKJBUBSE",4,13,"BUD2003","""","599.20 X M/M 128.533 IMU EXP 5.000000"
"B4KKJBUBSE",4,22,"PREFRAC","START","07/1994"
"B4KKJBUBSE",4,23,"PREFRAC","GAS","925.2 X M/M 02/1998 AD B/1.8641 7.092030"
"B4KKJBUBSE",4,24,"PREFRAC","""","734.6 X M/M 501.272 IMU EXP 5.000000"
"B4KKJBUBSE",4,25,"BUD2003","START","1/2003"
"B4KKJBUBSE",4,26,"BUD2003","OIL/GAS","0.00205838 0.00174592 B/M TO LIFE LOG TIME"
"B4KKJBUBSE",5,4,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKJBUBSE",5,5,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKJBUBSE",6,12,"LOE99","OPC/T","1000 X $/M TO LIFE ESC OPEX"
"B4KKJBUBSE",6,20,"LOE99","TCR/GAS",".646 .646 $/M 01/2003 AD PC 0"
"B4KKJBUBSE",6,16393,,"LOOKUP","SEV @M.STATE"
"B4KKJBUBSE",6,24580,,"ATX","6.97 X % TO LIFE PC 0"
"B4KKJBUBSE",7,3,"LGC","NET","100.00000 75.70716 %"
"B4KKJBUBSE",8,16383,,"CAPITAL","225 100 G 0 YRS"
"B4KKJBUBSE",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKJBUBSE",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKJHSBTA",1,1,,"TITLES","Lease: COLO 32-8 #2 PC"
"B4KKJHSBTA",1,6,,"TITLES","Field: IGNACIO-BLANCO"
"B4KKJHSBTA",1,11,,"TITLES","LA PLATA , CO"
"B4KKJHSBTA",1,16,,"TITLES","Operator: APACHE CORPORATION"
"B4KKJHSBTA",2,16383,,"LOSS","OK"
"B4KKJHSBTA",4,3,"BUD2003","CUMS","0.882 833.669"
"B4KKJHSBTA",4,4,"BUD2000","CUMS","0.787 686.518"
"B4KKJHSBTA",4,5,"BUD2000","START","04/1999"
"B4KKJHSBTA",4,6,"BUD2000","GAS","3414.4 X M/M 06/2004 AD B/1.6984 8.301805"
"B4KKJHSBTA",4,7,"BUD2000","""","2399.6 X M/M 549.755 IMU EXP 5.000000"
"B4KKJHSBTA",4,8,"BUD2000","START","04/1999"
"B4KKJHSBTA",4,9,"BUD2000","OIL/GAS","0.001739 0.00037077 B/M TO LIFE LOG TIME"
"B4KKJHSBTA",4,10,"BUD2003","START","1/2003"
"B4KKJHSBTA",4,11,"BUD2003","GAS","2594.07 X M/M 6/2004 AD B/1.6984 5.429055"
"B4KKJHSBTA",4,12,"BUD2003","""","2399.60 X M/M 549.804 IMU EXP 5.000000"
"B4KKJHSBTA",4,21,"BUD2003","START","1/2003"
"B4KKJHSBTA",4,22,"BUD2003","OIL/GAS","0.00161868 0.00037077 B/M TO LIFE LOG TIME"
"B4KKJHSBTA",5,4,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKJHSBTA",5,5,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKJHSBTA",6,12,"LOE99","OPC/T","985 X $/M TO LIFE ESC OPEX"
"B4KKJHSBTA",6,20,,"TCR/GAS",".646 .646 $/M 01/2003 AD PC 0"
"B4KKJHSBTA",6,16393,,"LOOKUP","SEV @M.STATE"
"B4KKJHSBTA",6,24580,,"ATX","6.97 X % TO LIFE PC 0"
"B4KKJHSBTA",7,16387,"LGC","NET","87.34929 74.5475 %"
"B4KKJHSBTA",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKJHSBTA",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKJK89U8",1,1,,"TITLES","Lease: COLO 32-8 #1 PC"
"B4KKJK89U8",1,6,,"TITLES","Field: IGNACIO-BLANCO"
"B4KKJK89U8",1,11,,"TITLES","LA PLATA , CO"
"B4KKJK89U8",1,16,,"TITLES","Operator: APACHE CORPORATION"
"B4KKJK89U8",4,3,"BUD2003","CUMS","0.603 738.718"
"B4KKJK89U8",4,4,"BUD2000","CUMS","0.557 584.175"
"B4KKJK89U8",4,5,"BUD2000","START","04/1999"
"B4KKJK89U8",4,6,"BUD2000","GAS","3898.7 X M/M 659.210 IMU EXP 6.831181"
"B4KKJK89U8",4,7,"BUD2000","START","04/1999"
"B4KKJK89U8",4,8,"BUD2000","OIL","1.018 X B/M 0.040 IMU EXP 26.162172"
"B4KKJK89U8",4,9,"BUD2003","START","1/2003"
"B4KKJK89U8",4,10,"BUD2003","GAS","2990.09 X M/M 505.128 IMU EXP 6.831181"
"B4KKJK89U8",4,11,"BUD2003","START","1/2003"
"B4KKJK89U8",4,12,"BUD2003","OIL/GAS","0.00039126 0.00003782 B/M TO LIFE LOG TIME"
"B4KKJK89U8",5,24577,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKJK89U8",5,24578,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKJK89U8",6,12,"LOE99","OPC/T","890 X $/M TO LIFE ESC OPEX"
"B4KKJK89U8",6,16389,,"LOOKUP","SEV @M.STATE"
"B4KKJK89U8",6,24578,,"ATX","6.97 X % TO LIFE PC 0"
"B4KKJK89U8",7,3,"LGC","NET","100.00000 87.45781 %"
"B4KKJK89U8",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKJK89U8",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKJMKBV7",1,1,,"TITLES","Lease: IRISH CREEK #11-21"
"B4KKJMKBV7",1,6,,"TITLES","Field: IRISH CREEK"
"B4KKJMKBV7",1,11,,"TITLES","MOFFAT , CO"
"B4KKJMKBV7",1,16,,"TITLES","Operator: MARATHON OIL COMPANY"
"B4KKJMKBV7",4,3,"BUD2003","CUMS","1.501 177.284"
"B4KKJMKBV7",4,4,"BUD2000","CUMS","0.511 93.778"
"B4KKJMKBV7",4,5,"BUD2000","START","04/1999"
"B4KKJMKBV7",4,6,"BUD2000","GAS","2664.0 X M/M 12/2011 AD B/1.3657 30.899212"
"B4KKJMKBV7",4,7,"BUD2000","""","517.5 X M/M 109.384 IMU EXP 5.000000"
"B4KKJMKBV7",4,8,"BUD2000","START","04/1999"
"B4KKJMKBV7",4,9,"BUD2000","OIL/GAS","0.004540 0.00450829 B/M TO LIFE LOG TIME"
"B4KKJMKBV7",4,10,"BUD2003","START","01/2003"
"B4KKJMKBV7",4,11,"BUD2003","GAS","1481.48 X M/M 04/2007 AD B/2.0596 8.178891"
"B4KKJMKBV7",4,12,"BUD2003","""","1108.72 X M/M 247.687 IMU EXP 5.000000"
"B4KKJMKBV7",4,23,"BUD2003","START","01/2003"
"B4KKJMKBV7",4,24,"BUD2003","OIL/GAS","0.00765069 0.00022611 B/M TO LIFE LOG TIME"
"B4KKJMKBV7",5,12287,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKJMKBV7",5,12288,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKJMKBV7",6,20,"LOE99","OPC/T","@M.LOE X $/M TO LIFE ESC OPEX"
"B4KKJMKBV7",6,21,"LOE99","OPC/GAS",".0864 X $/M TO LIFE ESC OPEX"
"B4KKJMKBV7",6,22,"LOE99","TCR/GAS",".646 .646 $/M 01/2003 AD PC 0"
"B4KKJMKBV7",6,16394,,"LOOKUP","SEV @M.STATE"
"B4KKJMKBV7",6,24580,,"ATX","6.97 X % TO LIFE PC 0"
"B4KKJMKBV7",7,3,"LGC","NET","79.44000 67.28330 %"
"B4KKJMKBV7",9,10,,"LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKJMKBV7",9,20,,"LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKJMKBV7",9,21,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKJMKBV7",9,22,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKRPSDFF",1,1,,"TITLES","Lease: REED -E-"
"B4KKRPSDFF",1,6,,"TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKRPSDFF",1,11,,"TITLES","FREESTONE , TX"
"B4KKRPSDFF",1,16,,"TITLES","Operator: MARATHON OIL CO"
"B4KKRPSDFF",4,1,"DEFAULT","CUMS","13.232 4549.963 "
"B4KKRPSDFF",4,2,"DEFAULT","START","12/1993"
"B4KKRPSDFF",4,3,"DEFAULT","GAS","2201.84 X M/M 39.919 IMU EXP 47.666969"
"B4KKRPSDFF",4,4,"DEFAULT","START","12/1993"
"B4KKRPSDFF",4,5,"DEFAULT","OIL","10.5250 X B/M 0.185 IMU EXP 42.520612"
"B4KKRPSDFF",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKRPSDFF",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKRPSDFF",6,2,,"LOOKUP","SEV @M.STATE"
"B4KKRPSDFF",6,3,,"ATX","2.90"
"B4KKRPSDFF",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKRPSDFF",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKRR4FGD",1,33,,"TITLES","Lease: HULL #1"
"B4KKRR4FGD",1,38,,"TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKRR4FGD",1,43,,"TITLES","LEON , TX"
"B4KKRR4FGD",1,48,,"TITLES","Operator: MARATHON OIL CO"
"B4KKRR4FGD",1,49,"LGC","TITLES","Lease: HULL #1"
"B4KKRR4FGD",1,54,"LGC","TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKRR4FGD",1,59,"LGC","TITLES","LEON , @M.STATE"
"B4KKRR4FGD",1,64,"LGC","TITLES","Operator: XTO ENERGY INCORPORATED"
"B4KKRR4FGD",2,16383,,"SHRINK",".97"
"B4KKRR4FGD",4,3,"BUD2003","CUMS","10.837 2857.218"
"B4KKRR4FGD",4,4,"BUD2000","CUMS","10.028 2587.575"
"B4KKRR4FGD",4,5,"BUD2000","START","09/1999"
"B4KKRR4FGD",4,6,"BUD2000","GAS","9783.6 X M/M 3895.04804 MMF EXP 7.953637"
"B4KKRR4FGD",4,7,"BUD2000","START","09/1999"
"B4KKRR4FGD",4,8,"BUD2000","OIL/GAS","0.004185 0.00602756 B/M TO LIFE LOG TIME"
"B4KKRR4FGD",4,9,"BUD2003","START","01/2003"
"B4KKRR4FGD",4,10,"BUD2003","GAS","7422.00 X M/M 966.138 IMU EXP 7.953637"
"B4KKRR4FGD",4,19,"BUD2003","START","01/2003"
"B4KKRR4FGD",4,20,"BUD2003","OIL/GAS","0.00435244 0.00602756 B/M TO LIFE LOG TIME"
"B4KKRR4FGD",5,16382,"BUD2000","PRI/OIL","19.60"
"B4KKRR4FGD",5,24573,"BUD2000","PRI/GAS","1.85"
"B4KKRR4FGD",6,5,"LOE99","OPC/T","3500 X $/M TO LIFE ESC OPEX"
"B4KKRR4FGD",6,6,,"LOOKUP","SEV @M.STATE"
"B4KKRR4FGD",6,7,,"ATX","3"
"B4KKRR4FGD",7,3,"LGC","NET","34.75751 28.96627 %"
"B4KKRR4FGD",7,16385,"OWN1","NET","50 42 %"
"B4KKRR4FGD",8,3,,"CAPITAL","200 100 G 0 YRS"
"B4KKRR4FGD",9,10,,"LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKRR4FGD",9,20,,"LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKS1GDS3",1,1,,"TITLES","Lease: VARIBUS"
"B4KKS1GDS3",1,6,,"TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKS1GDS3",1,11,,"TITLES","LEON , TX"
"B4KKS1GDS3",1,16,,"TITLES","Operator: SONAT EXPL INC"
"B4KKS1GDS3",1,17,"LGC","TITLES","Lease: VARIBUS"
"B4KKS1GDS3",1,22,"LGC","TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKS1GDS3",1,27,"LGC","TITLES","LEON , @M.STATE"
"B4KKS1GDS3",1,32,"LGC","TITLES","Operator: HUNT PETROLEUM CORPORATION"
"B4KKS1GDS3",4,1,"TEST","CUMS","5.745 1948.458"
"B4KKS1GDS3",4,4,"BUD2003","CUMS","6.221 2152.928"
"B4KKS1GDS3",4,5,"BUD2000","CUMS","5.745 1948.458"
"B4KKS1GDS3",4,6,"BUD2000","START","09/1999"
"B4KKS1GDS3",4,7,"BUD2000","GAS","6597.7 X M/M 2514.71744 MMF EXP 11.989965"
"B4KKS1GDS3",4,8,"BUD2000","START","09/1999"
"B4KKS1GDS3",4,9,"BUD2000","WTR","549.5 X B/M 205.015 IMU EXP 2.959546"
"B4KKS1GDS3",4,10,"BUD2000","START","09/1999"
"B4KKS1GDS3",4,11,"BUD2000","OIL/GAS","0.001946 0.00045174 B/M TO LIFE LOG TIME"
"B4KKS1GDS3",4,12,"BUD2003","START","01/2003"
"B4KKS1GDS3",4,13,"BUD2003","GAS","4310.22 X M/M 351.369 IMU EXP 11.989965"
"B4KKS1GDS3",4,14,"BUD2003","START","01/2003"
"B4KKS1GDS3",4,15,"BUD2003","WTR","497.14 X B/M 184.136 IMU EXP 2.959546"
"B4KKS1GDS3",4,27,"TEST","START","09/1999"
"B4KKS1GDS3",4,28,"TEST","GAS","6304.94 X M/M 350.035 IMU EXP 19.300978"
"B4KKS1GDS3",4,29,"TEST","START","09/1999"
"B4KKS1GDS3",4,30,"TEST","WTR","549.50 X B/M 205.051 IMU EXP 2.959546"
"B4KKS1GDS3",4,31,"TEST","START","09/1999"
"B4KKS1GDS3",4,32,"TEST","OIL/GAS","0.00194600 0.00045174 B/M TO LIFE LOG TIME"
"B4KKS1GDS3",4,33,"BUD2003","START","01/2003"
"B4KKS1GDS3",4,34,"BUD2003","OIL/GAS","0.00150952 0.00045174 B/M TO LIFE LOG TIME"
"B4KKS1GDS3",5,16382,"BUD2000","PRI/OIL","20.05"
"B4KKS1GDS3",5,24573,"BUD2000","PRI/GAS","1.95"
"B4KKS1GDS3",6,8191,"LOE99","OPC/T","4120 X $/M TO LIFE ESC OPEX"
"B4KKS1GDS3",6,12286,,"OPC/WTR",".25 X $/B TO LIFE PC 0"
"B4KKS1GDS3",6,16382,,"LOOKUP","SEV @M.STATE"
"B4KKS1GDS3",6,24573,,"ATX","3"
"B4KKS1GDS3",7,3,"LGC","NET","48.33634 42.52856 42.52856 %"
"B4KKS1GDS3",7,16385,"OWN1","NET","32.168 27.145 %"
"B4KKS1GDS3",8,3,,"CAPITAL","225 75 G 0 YRS"
"B4KKS1GDS3",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKS1GDS3",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKS1QBH9",1,1,,"TITLES","Lease: HOLMES S"
"B4KKS1QBH9",1,6,,"TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKS1QBH9",1,11,,"TITLES","LEON , TX"
"B4KKS1QBH9",1,16,,"TITLES","Operator: MARATHON OIL CO"
"B4KKS1QBH9",1,17,"LGC","TITLES","Lease: HOLMES S"
"B4KKS1QBH9",1,22,"LGC","TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKS1QBH9",1,27,"LGC","TITLES","LEON , @M.STATE"
"B4KKS1QBH9",1,32,"LGC","TITLES","Operator: XTO ENERGY INCORPORATED"
"B4KKS1QBH9",4,3,"BUD2003","CUMS","11.354 2099.994"
"B4KKS1QBH9",4,4,"BUD2000","CUMS","10.174 1916.931"
"B4KKS1QBH9",4,5,"BUD2000","START","09/1999"
"B4KKS1QBH9",4,6,"BUD2000","GAS","11434.8 X M/M 2939.57219 MMF EXP 11.543000"
"B4KKS1QBH9",4,7,"BUD2000","START","09/1999"
"B4KKS1QBH9",4,8,"BUD2000","OIL","64.1 X B/M 5.941 IMU EXP 10.351819"
"B4KKS1QBH9",4,9,"BUD2000","START","09/1999"
"B4KKS1QBH9",4,10,"BUD2000","WTR","308.2 X B/M 76.711 IMU EXP 4.259979"
"B4KKS1QBH9",4,11,"BUD2003","START","01/2003"
"B4KKS1QBH9",4,12,"BUD2003","GAS","5037.69 X M/M 182.693 IMU EXP 27.935940"
"B4KKS1QBH9",4,13,"BUD2003","START","01/2003"
"B4KKS1QBH9",4,14,"BUD2003","WTR","266.57 X B/M 65.236 IMU EXP 4.259979"
"B4KKS1QBH9",4,26,"BUD2003","START","01/2003"
"B4KKS1QBH9",4,27,"BUD2003","OIL/GAS","0.00467962 0.00255935 B/M TO LIFE LOG TIME"
"B4KKS1QBH9",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKS1QBH9",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKS1QBH9",6,8191,"LOE99","OPC/T","3850 X $/M TO LIFE ESC OPEX"
"B4KKS1QBH9",6,12286,,"OPC/WTR",".25 X $/B TO LIFE PC 0"
"B4KKS1QBH9",6,16382,,"LOOKUP","SEV @M.STATE"
"B4KKS1QBH9",6,24573,,"ATX","3"
"B4KKS1QBH9",7,3,"LGC","NET","48.33634 42.52856 42.52856 %"
"B4KKS1QBH9",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKS1QBH9",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKS3AETZ",1,1,,"TITLES","Lease: LOVERING, E.H."
"B4KKS3AETZ",1,6,,"TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKS3AETZ",1,11,,"TITLES","FREESTONE , TX"
"B4KKS3AETZ",1,16,,"TITLES","Operator: SONAT EXPL INC"
"B4KKS3AETZ",1,17,"LGC","TITLES","Lease: LOVERING E.H."
"B4KKS3AETZ",1,22,"LGC","TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKS3AETZ",1,27,"LGC","TITLES","FREESTONE , @M.STATE"
"B4KKS3AETZ",1,32,"LGC","TITLES","Operator: ANADARKO PETROLEUM CORPORATION"
"B4KKS3AETZ",4,3,"BUD2003","CUMS","17.420 2077.539"
"B4KKS3AETZ",4,4,"BUD2000","CUMS","16.213 1898.596"
"B4KKS3AETZ",4,5,"BUD2000","START","09/1999"
"B4KKS3AETZ",4,6,"BUD2000","GAS","5806.8 X M/M 03/2012 AD B/0.9580 11.726587"
"B4KKS3AETZ",4,7,"BUD2000","""","2153.4 X M/M 2508.35532 MMF EXP 5.000000"
"B4KKS3AETZ",4,8,"BUD2000","START","09/1999"
"B4KKS3AETZ",4,9,"BUD2000","OIL","33.4 X B/M 11/2057 AD B/0.2608 20.185827"
"B4KKS3AETZ",4,10,"BUD2000","""","0.102 X B/M 0.022 IMU EXP 5.000000"
"B4KKS3AETZ",4,11,"BUD2003","START","01/2003"
"B4KKS3AETZ",4,12,"BUD2003","GAS","4017.81 X M/M 03/2012 AD B/0.9580 8.531899"
"B4KKS3AETZ",4,13,"BUD2003","""","2153.40 X M/M 100.405 IMU EXP 5.000000"
"B4KKS3AETZ",4,22,"BUD2003","START","01/2003"
"B4KKS3AETZ",4,23,"BUD2003","OIL","16.5015 X B/M 11/2057 AD B/0.2608 17.180830"
"B4KKS3AETZ",4,24,"BUD2003","""","0.102000 X B/M 0.022 IMU EXP 5.000000"
"B4KKS3AETZ",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKS3AETZ",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKS3AETZ",6,10922,"LOE99","OPC/T","3525"
"B4KKS3AETZ",6,16383,,"LOOKUP","SEV @M.STATE"
"B4KKS3AETZ",6,19113,,"ATX","2.90"
"B4KKS3AETZ",7,3,"LGC","NET","20.562014 17.2964 %"
"B4KKS3AETZ",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKS3AETZ",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKS3UBI6",1,1,,"TITLES","Lease: REED E"
"B4KKS3UBI6",1,6,,"TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKS3UBI6",1,11,,"TITLES","FREESTONE , TX"
"B4KKS3UBI6",1,16,,"TITLES","Operator: MARATHON OIL CO"
"B4KKS3UBI6",4,1,"DEFAULT","CUMS","0.0 1401.365 "
"B4KKS3UBI6",4,2,"DEFAULT","START","1/1994"
"B4KKS3UBI6",4,3,"DEFAULT","GAS","2765.45 X M/M 37.658 IMU EXP 57.925524"
"B4KKS3UBI6",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKS3UBI6",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKS3UBI6",6,2,,"LOOKUP","SEV @M.STATE"
"B4KKS3UBI6",6,3,,"ATX","2.90"
"B4KKS3UBI6",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKS3UBI6",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKS54FUV",1,1,,"TITLES","Lease: WORTHY"
"B4KKS54FUV",1,6,,"TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKS54FUV",1,11,,"TITLES","FREESTONE , TX"
"B4KKS54FUV",1,16,,"TITLES","Operator: SONAT EXPL INC"
"B4KKS54FUV",1,17,"LGC","TITLES","Lease: WORTHY"
"B4KKS54FUV",1,22,"LGC","TITLES","Field: BEAR GRASS (TRAVIS PEAK)"
"B4KKS54FUV",1,27,"LGC","TITLES","FREESTONE , @M.STATE"
