"PROPNUM","SECTION","SEQUENCE","QUALIFIER","KEYWORD","EXPRESSION"
"B4KL2HEBCS",4,4,"BUD2003","CUMS","623.929 4086.245"
"B4KL2HEBCS",4,5,"BUD2000","CUMS","585.079 3672.588"
"B4KL2HEBCS",4,6,"BUD2000","START","09/1999"
"B4KL2HEBCS",4,7,"BUD2000","OIL","1430.0 X B/M 66.940 IMU EXP 22.473832"
"B4KL2HEBCS",4,8,"BUD2000","START","09/1999"
"B4KL2HEBCS",4,9,"BUD2000","GAS","14100.5 X M/M 1041.951 IMU EXP 14.940739"
"B4KL2HEBCS",4,10,"BUD2003","START","1/2003"
"B4KL2HEBCS",4,11,"BUD2003","OIL","612.11 X B/M 28.385 IMU EXP 22.473832"
"B4KL2HEBCS",4,20,"WORKOVER","START","09/1999"
"B4KL2HEBCS",4,21,"WORKOVER","OIL","1430.0 X B/M 01/2001 AD EXP 22.473832"
"B4KL2HEBCS",4,22,"WORKOVER","""","3000.0 X B/M 114.015 IMU EXP 27.000000"
"B4KL2HEBCS",4,23,"WORKOVER","START","09/1999"
"B4KL2HEBCS",4,24,"WORKOVER","GAS","14100.5 X M/M 01/2001 AD EXP 14.940739"
"B4KL2HEBCS",4,25,"WORKOVER","""","33000.0 X M/M 2122.090 IMU EXP 17.000000"
"B4KL2HEBCS",4,26,"BUD2003","START","1/2003"
"B4KL2HEBCS",4,27,"BUD2003","GAS/OIL","14.1116 87.5220 M/B TO LIFE LOG TIME"
"B4KL2HEBCS",5,16382,"BUD2000","PRI/OIL","24.12"
"B4KL2HEBCS",5,24573,"BUD2000","PRI/GAS","2.12"
"B4KL2HEBCS",6,5,"WORK99","OPC/T","2430 X $/M TO LIFE ESC OPEX"
"B4KL2HEBCS",6,6,,"LOOKUP","SEV @M.STATE"
"B4KL2HEBCS",6,7,,"ATX","2.97"
"B4KL2HEBCS",7,3,"LGC","NET","50 42.5 %"
"B4KL2HEBCS",7,8194,"OWN1","NET","32 20 %"
"B4KL2HEBCS",7,16385,"OWN1","NET","20 12.5 %"
"B4KL2HEBCS",8,16383,"WORKOVER","WRKOVR","80 100 G OIL 1"
"B4KL2HEBCS",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2HEBCS",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2I49X5",1,1,,"TITLES","Lease: LEHMANN-VON MINDEN"
"B4KL2I49X5",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK GAS)"
"B4KL2I49X5",1,11,,"TITLES","FAYETTE , TX"
"B4KL2I49X5",1,16,,"TITLES","Operator: COASTAL OIL & GAS CORP"
"B4KL2I49X5",4,3,"BUD2003","CUMS","356.142 3803.861"
"B4KL2I49X5",4,4,"BUD2000","CUMS","321.953 3291.934"
"B4KL2I49X5",4,5,"BUD2000","START","09/1999"
"B4KL2I49X5",4,6,"BUD2000","GAS","16905.0 X M/M 01/2017 AD B/0.9317 23.548802"
"B4KL2I49X5",4,7,"BUD2000","""","2494.1 X M/M 571.861 IMU EXP 5.000000"
"B4KL2I49X5",4,8,"BUD2000","START","09/1999"
"B4KL2I49X5",4,9,"BUD2000","WTR","374.5 X B/M 7.462 IMU EXP 42.743169"
"B4KL2I49X5",4,10,"BUD2000","START","09/1999"
"B4KL2I49X5",4,11,"BUD2000","OIL/GAS","0.064 0.032 B/M TO LIFE LOG TIME"
"B4KL2I49X5",4,12,"BUD2003","START","1/2003"
"B4KL2I49X5",4,13,"BUD2003","GAS","11662.7 X M/M 1238.704 IMU EXP 10.640327"
"B4KL2I49X5",4,14,"BUD2003","START","1/2003"
"B4KL2I49X5",4,15,"BUD2003","WTR","58.3727 X B/M 0.686 IMU EXP 42.743169"
"B4KL2I49X5",4,28,"BUD2003","START","1/2003"
"B4KL2I49X5",4,29,"BUD2003","OIL/GAS","0.070462 1.1486 B/M TO LIFE LOG TIME"
"B4KL2I49X5",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL2I49X5",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL2I49X5",6,8191,"LOE99","OPC/T","1188"
"B4KL2I49X5",6,12286,,"OPC/WTR",".25 X $/B TO LIFE PC 0"
"B4KL2I49X5",6,16382,,"LOOKUP","SEV @M.STATE"
"B4KL2I49X5",6,24573,,"ATX","2.87"
"B4KL2I49X5",7,3,"LGC","NET","48.33634 42.52856 42.52856 %"
"B4KL2I49X5",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2I49X5",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2JUADP",1,1,,"TITLES","Lease: W. LEHMANN OIL UNIT"
"B4KL2JUADP",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK-3)"
"B4KL2JUADP",1,11,,"TITLES","FAYETTE , TX"
"B4KL2JUADP",1,16,,"TITLES","Operator: COASTAL OIL & GAS CORP"
"B4KL2JUADP",4,3,"BUD2003","CUMS","180.568 1514.804"
"B4KL2JUADP",4,4,"BUD2000","CUMS","176.964 1464.989"
"B4KL2JUADP",4,5,"BUD2000","START","09/1999"
"B4KL2JUADP",4,6,"BUD2000","OIL","109.2 X B/M 4.014 IMU EXP 25.672600"
"B4KL2JUADP",4,7,"BUD2000","START","09/1999"
"B4KL2JUADP",4,8,"BUD2000","GAS","1213.6 X M/M 26.747 IMU EXP 40.714377"
"B4KL2JUADP",4,9,"BUD2003","START","1/2003"
"B4KL2JUADP",4,10,"BUD2003","OIL","87.7189 X B/M 21.136 IMU EXP 3.224970"
"B4KL2JUADP",4,19,"BUD2003","START","1/2003"
"B4KL2JUADP",4,20,"BUD2003","GAS/OIL","12.1804 1.7093 M/B TO LIFE LOG TIME"
"B4KL2JUADP",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL2JUADP",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL2JUADP",6,5,"WORK99","OPC/T","2430 X $/M TO LIFE ESC OPEX"
"B4KL2JUADP",6,6,,"LOOKUP","SEV @M.STATE"
"B4KL2JUADP",6,7,,"ATX","2.97"
"B4KL2JUADP",7,3,"LGC","NET","75 63 %"
"B4KL2JUADP",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2JUADP",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2KS8Y1",1,1,,"TITLES","Lease: ARMSTRONG-ARMSTRONG UNIT"
"B4KL2KS8Y1",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK GAS)"
"B4KL2KS8Y1",1,11,,"TITLES","FAYETTE , TX"
"B4KL2KS8Y1",1,16,,"TITLES","Operator: COASTAL OIL & GAS CORP"
"B4KL2KS8Y1",4,3,"BUD2003","CUMS","159.784 2061.063"
"B4KL2KS8Y1",4,4,"BUD2000","CUMS","144.830 1829.891"
"B4KL2KS8Y1",4,5,"BUD2000","START","09/1999"
"B4KL2KS8Y1",4,6,"BUD2000","GAS","7275.2 X M/M 07/2004 AD B/3.0086 14.587072"
"B4KL2KS8Y1",4,7,"BUD2000","""","4614.8 X M/M 1067.998 IMU EXP 5.000000"
"B4KL2KS8Y1",4,8,"BUD2000","START","09/1999"
"B4KL2KS8Y1",4,9,"BUD2000","WTR","270.7 X B/M 70.244 IMU EXP 4.028600"
"B4KL2KS8Y1",4,10,"BUD2000","START","09/1999"
"B4KL2KS8Y1",4,11,"BUD2000","OIL/GAS","0.061 0.049 B/M TO LIFE LOG TIME"
"B4KL2KS8Y1",4,12,"BUD2003","START","1/2003"
"B4KL2KS8Y1",4,13,"BUD2003","GAS","2896.68 X M/M 112.558 IMU EXP 26.181593"
"B4KL2KS8Y1",4,14,"BUD2003","START","1/2003"
"B4KL2KS8Y1",4,15,"BUD2003","WTR","135.17 X B/M 5.713 IMU EXP 19.856477"
"B4KL2KS8Y1",4,27,"BUD2003","START","1/2003"
"B4KL2KS8Y1",4,28,"BUD2003","OIL/GAS","0.056547 0.036563 B/M TO LIFE LOG TIME"
"B4KL2KS8Y1",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL2KS8Y1",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL2KS8Y1",6,8191,"LOE99","OPC/T","3000"
"B4KL2KS8Y1",6,12286,,"OPC/WTR",".25 X $/B TO LIFE PC 0"
"B4KL2KS8Y1",6,16382,,"LOOKUP","SEV @M.STATE"
"B4KL2KS8Y1",6,24573,,"ATX","2.87"
"B4KL2KS8Y1",7,3,"LGC","NET","20.562014 17.2964 %"
"B4KL2KS8Y1",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2KS8Y1",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2LI9EM",1,1,,"TITLES","Lease: A. BUSCHA OIL UNIT"
"B4KL2LI9EM",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK-3)"
"B4KL2LI9EM",1,11,,"TITLES","FAYETTE , TX"
"B4KL2LI9EM",1,16,,"TITLES","Operator: COASTAL OIL & GAS CORP"
"B4KL2LI9EM",4,1,"TEST","CUMS","136.887 260.693"
"B4KL2LI9EM",4,4,"BUD2003","CUMS","134.756 255.835"
"B4KL2LI9EM",4,5,"BUD2000","CUMS","105.082 195.916"
"B4KL2LI9EM",4,6,"BUD2000","START","09/1999"
"B4KL2LI9EM",4,7,"BUD2000","OIL","854.7 X B/M 33.345 IMU EXP 26.216965"
"B4KL2LI9EM",4,8,"BUD2000","START","09/1999"
"B4KL2LI9EM",4,9,"BUD2000","WTR","469.9 X B/M 17.343 IMU EXP 26.268240"
"B4KL2LI9EM",4,10,"BUD2000","START","09/1999"
"B4KL2LI9EM",4,11,"BUD2000","GAS/OIL","2.050 3.088 M/B TO LIFE LOG TIME"
"B4KL2LI9EM",4,12,"BUD2003","START","1/2003"
"B4KL2LI9EM",4,13,"BUD2003","OIL","579.15 X B/M 51.186 IMU EXP 12.080553"
"B4KL2LI9EM",4,14,"BUD2003","START","1/2003"
"B4KL2LI9EM",4,15,"BUD2003","WTR","170.16 X B/M 5.568 IMU EXP 26.268240"
"B4KL2LI9EM",4,27,"TEST","START","5/2003"
"B4KL2LI9EM",4,28,"TEST","OIL","280.32 X B/M 10.683 IMU EXP 26.216965"
"B4KL2LI9EM",4,29,"TEST","START","5/2003"
"B4KL2LI9EM",4,30,"TEST","WTR","153.72 X B/M 4.921 IMU EXP 26.268240"
"B4KL2LI9EM",4,31,"TEST","START","5/2003"
"B4KL2LI9EM",4,32,"TEST","GAS/OIL","2.2698 3.0880 M/B TO LIFE LOG TIME"
"B4KL2LI9EM",4,33,"BUD2003","START","1/2003"
"B4KL2LI9EM",4,34,"BUD2003","GAS/OIL","2.2793 6.0420 M/B TO LIFE LOG TIME"
"B4KL2LI9EM",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL2LI9EM",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL2LI9EM",6,5,"WORK99","OPC/T","1840 X $/M TO LIFE ESC OPEX"
"B4KL2LI9EM",6,16386,"WORK99","OPC/WTR",".20 X $/B TO LIFE PC 0"
"B4KL2LI9EM",6,16387,,"LOOKUP","SEV @M.STATE"
"B4KL2LI9EM",6,16388,,"ATX","2.97"
"B4KL2LI9EM",7,3,"LGC","NET","38.875 32.3958 %"
"B4KL2LI9EM",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2LI9EM",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2M08ZZ",1,1,,"TITLES","Lease: GOLDAPP"
"B4KL2M08ZZ",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK GAS)"
"B4KL2M08ZZ",1,11,,"TITLES","FAYETTE , TX"
"B4KL2M08ZZ",1,16,,"TITLES","Operator: MARATHON OIL CO"
"B4KL2M08ZZ",4,3,"BUD2003","CUMS","200.421 3437.524"
"B4KL2M08ZZ",4,4,"BUD2000","CUMS","186.380 3193.372"
"B4KL2M08ZZ",4,5,"BUD2000","START","09/1999"
"B4KL2M08ZZ",4,6,"BUD2000","GAS","5599.7 X M/M 04/2009 AD B/1.5078 18.376146"
"B4KL2M08ZZ",4,7,"BUD2000","""","2023.1 X M/M 3746.16215 MMF EXP 5.000000"
"B4KL2M08ZZ",4,8,"BUD2000","START","09/1999"
"B4KL2M08ZZ",4,9,"BUD2000","OIL","458.5 X B/M 06/2002 AD B/3.7232 8.673666"
"B4KL2M08ZZ",4,10,"BUD2000","""","375.4 X B/M 85.503 IMU EXP 5.000000"
"B4KL2M08ZZ",4,11,"BUD2003","START","1/2003"
"B4KL2M08ZZ",4,12,"BUD2003","GAS","4946.06 X M/M 5/2004 AD B/2.7036 5.701507"
"B4KL2M08ZZ",4,13,"BUD2003","""","4562.78 X M/M 1055.761 IMU EXP 5.000000"
"B4KL2M08ZZ",4,23,"BUD2003","START","1/2003"
"B4KL2M08ZZ",4,24,"BUD2003","OIL/GAS","0.054238 0.030000 B/M TO LIFE LOG TIME"
"B4KL2M08ZZ",5,16382,"BUD2000","PRI/OIL","21.90"
"B4KL2M08ZZ",5,24573,"BUD2000","PRI/GAS","1.89"
"B4KL2M08ZZ",6,5,"LOE99","OPC/T","2900"
"B4KL2M08ZZ",6,6,,"LOOKUP","SEV @M.STATE"
"B4KL2M08ZZ",6,7,,"ATX","2.87"
"B4KL2M08ZZ",7,3,"LGC","NET","48.33634 42.52856 42.52856 %"
"B4KL2M08ZZ",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2M08ZZ",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2MMBFJ",1,1,,"TITLES","Lease: WARD N"
"B4KL2MMBFJ",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK-3)"
"B4KL2MMBFJ",1,11,,"TITLES","LEE , TX"
"B4KL2MMBFJ",1,16,,"TITLES","Operator: MARATHON OIL CO"
"B4KL2MMBFJ",4,3,"BUD2003","CUMS","231.208 2435.744"
"B4KL2MMBFJ",4,4,"BUD2000","CUMS","220.152 2276.537"
"B4KL2MMBFJ",4,5,"BUD2000","START","09/1999"
"B4KL2MMBFJ",4,6,"BUD2000","OIL","374.7 X B/M 10/2006 AD B/2.0566 15.796240"
"B4KL2MMBFJ",4,7,"BUD2000","""","190.9 X B/M 42.311 IMU EXP 5.000000"
"B4KL2MMBFJ",4,8,"BUD2000","START","09/1999"
"B4KL2MMBFJ",4,9,"BUD2000","GAS","6279.0 X M/M 05/2002 AD B/3.2907 7.965370"
"B4KL2MMBFJ",4,10,"BUD2000","""","5199.1 X M/M 1204.700 IMU EXP 5.000000"
"B4KL2MMBFJ",4,11,"BUD2000","START","09/1999"
"B4KL2MMBFJ",4,12,"BUD2000","WTR","34.6 X B/M 0.220 IMU EXP 28.869158"
"B4KL2MMBFJ",4,13,"BUD2003","START","1/2003"
"B4KL2MMBFJ",4,14,"BUD2003","OIL","155.68 X B/M 5.784 IMU EXP 22.987234"
"B4KL2MMBFJ",4,26,"BUD2003","START","1/2003"
"B4KL2MMBFJ",4,27,"BUD2003","GAS/OIL","17.0716 23.6087 M/B TO LIFE LOG TIME"
"B4KL2MMBFJ",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL2MMBFJ",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL2MMBFJ",6,3,"WORK99","OPC/T","5000"
"B4KL2MMBFJ",6,16385,"WORK99","OPC/WTR",".20 X $/B TO LIFE PC 0"
"B4KL2MMBFJ",6,16386,,"LOOKUP","SEV @M.STATE"
"B4KL2MMBFJ",6,16387,,"ATX","3.1"
"B4KL2MMBFJ",7,3,"LGC","NET","50 41.25 %"
"B4KL2MMBFJ",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2MMBFJ",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2O481W",1,1,,"TITLES","Lease: GOLDAPP"
"B4KL2O481W",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK GAS)"
"B4KL2O481W",1,11,,"TITLES","FAYETTE , TX"
"B4KL2O481W",1,16,,"TITLES","Operator: MARATHON OIL CO"
"B4KL2O481W",4,3,"BUD2003","CUMS","179.978 3012.949"
"B4KL2O481W",4,4,"BUD2000","CUMS","165.964 2817.429"
"B4KL2O481W",4,5,"BUD2000","START","09/1999"
"B4KL2O481W",4,6,"BUD2000","GAS","3603.7 X M/M 58.076 IMU EXP 52.017099"
"B4KL2O481W",4,7,"BUD2000","START","09/1999"
"B4KL2O481W",4,8,"BUD2000","OIL/GAS","0.081 0.090 B/M TO LIFE LOG TIME"
"B4KL2O481W",4,9,"BUD2003","START","1/2003"
"B4KL2O481W",4,10,"BUD2003","GAS","3992.15 X M/M 7/2007 AD B/1.8643 8.058356"
"B4KL2O481W",4,11,"BUD2003","""","2932.61 X M/M 674.405 IMU EXP 5.000000"
"B4KL2O481W",4,21,"BUD2003","START","1/2003"
"B4KL2O481W",4,22,"BUD2003","OIL/GAS","0.071787 0.639285 B/M TO LIFE LOG TIME"
"B4KL2O481W",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL2O481W",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL2O481W",6,5,"LOE99","OPC/T","3420"
"B4KL2O481W",6,6,,"LOOKUP","SEV @M.STATE"
"B4KL2O481W",6,7,,"ATX","2.87"
"B4KL2O481W",7,3,"LGC","NET","100 86.985 %"
"B4KL2O481W",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2O481W",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2QA82T",1,1,,"TITLES","Lease: WOOD K"
"B4KL2QA82T",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK GAS)"
"B4KL2QA82T",1,11,,"TITLES","LEE , TX"
"B4KL2QA82T",1,16,,"TITLES","Operator: MARATHON OIL CO"
"B4KL2QA82T",4,1,"BUD2000","CUMS","19.043 774.484"
"B4KL2QA82T",4,2,"BUD2000","START","09/1999"
"B4KL2QA82T",4,3,"BUD2000","GAS","9078.4 X M/M 690.858 IMU EXP 14.515248"
"B4KL2QA82T",4,4,"BUD2000","START","09/1999"
"B4KL2QA82T",4,5,"BUD2000","OIL","148.7 X B/M 7.063 IMU EXP 21.019315"
"B4KL2QA82T",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL2QA82T",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL2QA82T",6,5,"LOE99","OPC/T","3620"
"B4KL2QA82T",6,6,,"LOOKUP","SEV @M.STATE"
"B4KL2QA82T",6,7,,"ATX","3"
"B4KL2QA82T",7,3,"LGC","NET","34.7589 25.9472 %"
"B4KL2QA82T",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2QA82T",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2QI9GF",1,1,,"TITLES","Lease: HARRELL E"
"B4KL2QI9GF",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK-3)"
"B4KL2QI9GF",1,11,,"TITLES","LEE , TX"
"B4KL2QI9GF",1,16,,"TITLES","Operator: MARATHON OIL CO"
"B4KL2QI9GF",2,16383,"BUD2000","MAJOR","GAS"
"B4KL2QI9GF",4,1,"BUD2000","CUMS","99.774 1961.320"
"B4KL2QI9GF",4,2,"BUD2000","START","09/1999"
"B4KL2QI9GF",4,3,"BUD2000","OIL","34.3 X B/M 1.034 IMU EXP 24.814923"
"B4KL2QI9GF",4,4,"BUD2000","START","09/1999"
"B4KL2QI9GF",4,5,"BUD2000","GAS","1952.1 X M/M 127.985 IMU EXP 16.648176"
"B4KL2QI9GF",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL2QI9GF",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL2QI9GF",6,3,"WORK99","OPC/T","1840 X $/M TO LIFE ESC OPEX"
"B4KL2QI9GF",6,4,,"LOOKUP","SEV @M.STATE"
"B4KL2QI9GF",6,5,,"ATX","3.1"
"B4KL2QI9GF",7,3,"LGC","NET","50 41.25 %"
"B4KL2QI9GF",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2QI9GF",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2SE84P",1,1,,"TITLES","Lease: APPELT E"
"B4KL2SE84P",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK GAS)"
"B4KL2SE84P",1,11,,"TITLES","FAYETTE , TX"
"B4KL2SE84P",1,16,,"TITLES","Operator: TORCH OPERATING CO"
"B4KL2SE84P",4,3,"BUD2003","CUMS","40.413 598.999"
"B4KL2SE84P",4,4,"BUD2000","CUMS","37.227 541.845"
"B4KL2SE84P",4,5,"BUD2000","START","09/1999"
"B4KL2SE84P",4,6,"BUD2000","GAS","1938.1 X M/M 647.88790 MMF B/1.3370 10.207951"
"B4KL2SE84P",4,7,"BUD2000","START","09/1999"
"B4KL2SE84P",4,8,"BUD2000","OIL","89.8 X B/M 1.888 IMU EXP 39.800414"
"B4KL2SE84P",4,9,"BUD2003","START","1/2003"
"B4KL2SE84P",4,10,"BUD2003","GAS","1268.02 X M/M 12/2008 AD B/1.2318 7.528115"
"B4KL2SE84P",4,11,"BUD2003","""","866.32 X M/M 191.014 IMU EXP 5.000000"
"B4KL2SE84P",4,20,"BUD2003","START","1/2003"
"B4KL2SE84P",4,21,"BUD2003","OIL/GAS","0.048767 0.030000 B/M TO LIFE LOG TIME"
"B4KL2SE84P",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL2SE84P",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL2SE84P",6,10922,"LOE99","OPC/T","1450"
"B4KL2SE84P",6,16383,,"LOOKUP","SEV @M.STATE"
"B4KL2SE84P",6,19113,,"ATX","2.87"
"B4KL2SE84P",7,3,"LGC","NET","48.33634 42.52856 42.52856 %"
"B4KL2SE84P",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2SE84P",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL2SO73Q",1,1,,"TITLES","Lease: HOLMES RANCH"
"B4KL2SO73Q",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK GAS)"
"B4KL2SO73Q",1,11,,"TITLES","FAYETTE , TX"
"B4KL2SO73Q",1,16,,"TITLES","Operator: TORCH OPERATING CO"
"B4KL2SO73Q",4,1,"DEFAULT","CUMS","78.774 782.105 "
"B4KL2SO73Q",4,2,"DEFAULT","START","9/1994"
"B4KL2SO73Q",4,3,"DEFAULT","GAS","80641.5 X M/M 348.797 IMU EXP 93.750572"
"B4KL2SO73Q",4,4,"DEFAULT","START","9/1994"
"B4KL2SO73Q",4,5,"DEFAULT","OIL","9218.65 X B/M 46.794 IMU EXP 90.534830"
"B4KL2SO73Q",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL2SO73Q",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL2SO73Q",6,2,,"LOOKUP","SEV @M.STATE"
"B4KL2SO73Q",6,3,,"ATX","2.87"
"B4KL2SO73Q",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL2SO73Q",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL30A9V9",1,1,,"TITLES","Lease: ELIAS, CAROLYN"
"B4KL30A9V9",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK-3)"
"B4KL30A9V9",1,11,,"TITLES","FAYETTE , TX"
"B4KL30A9V9",1,16,,"TITLES","Operator: WILLIAMS CLAYTON ENERGY"
"B4KL30A9V9",4,16383,"BUD2000","START","01/1999"
"B4KL30A9V9",4,24575,"BUD2000","OIL","0 X M/M 1 MO FLAT 0"
"B4KL30A9V9",5,2,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KL30A9V9",5,3,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KL30A9V9",6,1,,"OPC/T","1000"
"B4KL30A9V9",6,2,,"LOOKUP","SEV @M.STATE"
"B4KL30A9V9",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KL30A9V9",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KL30C7H9",1,1,,"TITLES","Lease: WENDLER"
"B4KL30C7H9",1,6,,"TITLES","Field: GIDDINGS (AUSTIN CHALK-3)"
"B4KL30C7H9",1,11,,"TITLES","FAYETTE , TX"

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
